benchmark,task,condition,model,backend,rounds,reward,wall_sec,tool_calls,error
tb2,cancel-async-tasks,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,85,14,
tb2,cancel-async-tasks,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,81,12,
tb2,chess-best-move,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,96,1,
tb2,chess-best-move,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,3,0,Process closed stdout (rc=None)
tb2,chess-best-move,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,71,13,
tb2,circuit-fibsqrt,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,119,20,
tb2,circuit-fibsqrt,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,1,0,Process closed stdout (rc=None)
tb2,circuit-fibsqrt,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,116,40,
tb2,cobol-modernization,baseline,gemini-3.1-flash-lite-preview,daytona,0,1.0,99,29,
tb2,cobol-modernization,reviewer,gemini-3.1-flash-lite-preview,daytona,1,1.0,103,46,
tb2,cobol-modernization,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,1.0,113,60,
tb2,code-from-image,baseline,gemini-3.1-flash-lite-preview,daytona,0,1.0,69,6,
tb2,code-from-image,reviewer,gemini-3.1-flash-lite-preview,daytona,1,1.0,69,15,
tb2,code-from-image,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,3,0,Process closed stdout (rc=None)
tb2,compile-compcert,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,81,13,
tb2,compile-compcert,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,103,30,
tb2,compile-compcert,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,3,0,Process closed stdout (rc=127)
tb2,configure-git-webserver,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,110,4,
tb2,configure-git-webserver,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,84,27,
tb2,configure-git-webserver,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,139,31,
tb2,constraints-scheduling,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,72,7,
tb2,constraints-scheduling,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,70,19,
tb2,constraints-scheduling,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,62,20,
tb2,count-dataset-tokens,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,103,11,
tb2,count-dataset-tokens,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,1,0,Process closed stdout (rc=None)
tb2,count-dataset-tokens,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,3,0,Process closed stdout (rc=None)
tb2,crack-7z-hash,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,1856,63,Agent timed out after 1800s
tb2,crack-7z-hash,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,882,114,Process closed stdout (rc=None)
tb2,crack-7z-hash,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,583,213,
tb2,custom-memory-heap-crash,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,149,36,
tb2,custom-memory-heap-crash,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,744,46,
tb2,custom-memory-heap-crash,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,1.0,194,69,
tb2,db-wal-recovery,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,105,28,
tb2,db-wal-recovery,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,2,0,Process closed stdout (rc=None)
tb2,db-wal-recovery,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,3,0,Process closed stdout (rc=None)
tb2,distribution-search,baseline,gemini-3.1-flash-lite-preview,daytona,0,1.0,90,7,
tb2,distribution-search,reviewer,gemini-3.1-flash-lite-preview,daytona,1,1.0,145,27,
tb2,distribution-search,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,1.0,138,28,
tb2,dna-assembly,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,122,19,
tb2,dna-assembly,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,1,0,Process closed stdout (rc=None)
tb2,dna-assembly,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,3,0,Process closed stdout (rc=None)
tb2,dna-insert,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,1689,13,
tb2,dna-insert,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,1,0,Process closed stdout (rc=None)
tb2,dna-insert,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,214,56,
tb2,extract-elf,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,90,13,
tb2,extract-elf,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,161,82,
tb2,extract-elf,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,125,56,
tb2,extract-moves-from-video,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,392,7,
tb2,extract-moves-from-video,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,426,20,
tb2,extract-moves-from-video,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,4,0,Process closed stdout (rc=None)
tb2,feal-differential-cryptanalysis,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,292,45,
tb2,feal-differential-cryptanalysis,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,184,49,
tb2,feal-differential-cryptanalysis,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,687,26,
tb2,feal-linear-cryptanalysis,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,793,33,
tb2,feal-linear-cryptanalysis,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,634,0,
tb2,feal-linear-cryptanalysis,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,626,0,
tb2,filter-js-from-html,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,298,2,
tb2,filter-js-from-html,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,1,0,Process closed stdout (rc=None)
tb2,filter-js-from-html,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,180,11,
tb2,financial-document-processor,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,108,13,
tb2,financial-document-processor,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,99,30,
tb2,financial-document-processor,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,102,38,
tb2,fix-code-vulnerability,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,225,85,
tb2,fix-code-vulnerability,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,987,98,
tb2,fix-code-vulnerability,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,773,63,
tb2,fix-git,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,53,8,
tb2,fix-git,reviewer,gemini-3.1-flash-lite-preview,daytona,1,1.0,88,36,
tb2,fix-git,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,1.0,80,30,
tb2,fix-ocaml-gc,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,1442,415,
tb2,fix-ocaml-gc,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,518,228,Process closed stdout (rc=None)
tb2,fix-ocaml-gc,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,777,61,Process closed stdout (rc=255)
tb2,gcode-to-text,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,80,5,
tb2,gcode-to-text,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,72,22,
tb2,gcode-to-text,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,78,16,
tb2,git-leak-recovery,baseline,gemini-3.1-flash-lite-preview,daytona,0,1.0,66,13,
tb2,git-leak-recovery,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,132,72,
tb2,git-leak-recovery,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,166,90,
tb2,git-multibranch,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,97,15,
tb2,git-multibranch,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,1,0,Process closed stdout (rc=None)
tb2,git-multibranch,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,161,47,
tb2,gpt2-codegolf,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,68,3,
tb2,gpt2-codegolf,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,67,10,
tb2,gpt2-codegolf,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,4,0,Process closed stdout (rc=None)
tb2,headless-terminal,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,76,7,
tb2,headless-terminal,reviewer,gemini-3.1-flash-lite-preview,daytona,1,1.0,88,20,
tb2,headless-terminal,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,121,19,
tb2,hf-model-inference,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,115,5,
tb2,hf-model-inference,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,0,0,Process closed stdout (rc=127)
tb2,hf-model-inference,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,668,12,
tb2,install-windows-3.11,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,127,7,
tb2,install-windows-3.11,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,141,41,
tb2,install-windows-3.11,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,91,19,
tb2,kv-store-grpc,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,57,8,
tb2,kv-store-grpc,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,74,18,
tb2,kv-store-grpc,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,1,0,Process closed stdout (rc=None)
tb2,large-scale-text-editing,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,215,7,Process closed stdout (rc=None)
tb2,large-scale-text-editing,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,1,0,Process closed stdout (rc=None)
tb2,large-scale-text-editing,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,631,0,
tb2,largest-eigenval,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,79,16,
tb2,largest-eigenval,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,94,31,
tb2,largest-eigenval,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,9,0,Process closed stdout (rc=None)
tb2,llm-inference-batching-scheduler,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,184,49,
tb2,llm-inference-batching-scheduler,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,3,0,Process closed stdout (rc=None)
tb2,llm-inference-batching-scheduler,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,390,113,
tb2,log-summary-date-ranges,baseline,gemini-3.1-flash-lite-preview,daytona,0,1.0,94,5,
tb2,log-summary-date-ranges,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,1,0,Process closed stdout (rc=None)
tb2,log-summary-date-ranges,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,92,26,
tb2,mailman,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,111,12,
tb2,mailman,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,1,0,Process closed stdout (rc=None)
tb2,mailman,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,1,0,Process closed stdout (rc=None)
tb2,make-doom-for-mips,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,935,508,Agent timed out after 900s
tb2,make-doom-for-mips,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,664,23,
tb2,make-doom-for-mips,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,160,60,
tb2,make-mips-interpreter,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,154,10,
tb2,make-mips-interpreter,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,116,26,
tb2,make-mips-interpreter,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,117,30,
tb2,mcmc-sampling-stan,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,361,5,
tb2,mcmc-sampling-stan,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,608,22,
tb2,mcmc-sampling-stan,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,641,13,ACP error 400: The input token count exceeds the maximum number of tokens allowed 1048576.
tb2,merge-diff-arc-agi-task,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,143,31,
tb2,merge-diff-arc-agi-task,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,1,0,Process closed stdout (rc=None)
tb2,merge-diff-arc-agi-task,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,3,0,Process closed stdout (rc=255)
tb2,model-extraction-relu-logits,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,89,8,
tb2,model-extraction-relu-logits,reviewer,gemini-3.1-flash-lite-preview,daytona,1,1.0,87,24,
tb2,model-extraction-relu-logits,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,91,18,
tb2,modernize-scientific-stack,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,70,8,
tb2,modernize-scientific-stack,reviewer,gemini-3.1-flash-lite-preview,daytona,1,1.0,105,30,
tb2,modernize-scientific-stack,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,1.0,82,26,
tb2,mteb-leaderboard,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,93,4,
tb2,mteb-leaderboard,reviewer,gemini-3.1-flash-lite-preview,daytona,1,1.0,93,16,
tb2,mteb-leaderboard,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,1.0,79,12,
tb2,mteb-retrieve,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,85,4,
tb2,mteb-retrieve,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,3,0,Process closed stdout (rc=None)
tb2,mteb-retrieve,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,180,20,
tb2,multi-source-data-merger,baseline,gemini-3.1-flash-lite-preview,daytona,0,1.0,102,10,
tb2,multi-source-data-merger,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,1,0,Process closed stdout (rc=None)
tb2,multi-source-data-merger,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,3,0,Process closed stdout (rc=None)
tb2,nginx-request-logging,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,87,5,
tb2,nginx-request-logging,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,1,0,Process closed stdout (rc=None)
tb2,nginx-request-logging,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,88,21,
tb2,openssl-selfsigned-cert,baseline,gemini-3.1-flash-lite-preview,daytona,0,1.0,65,6,
tb2,openssl-selfsigned-cert,reviewer,gemini-3.1-flash-lite-preview,daytona,1,1.0,77,31,
tb2,openssl-selfsigned-cert,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,2,0,Process closed stdout (rc=None)
tb2,overfull-hbox,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,193,91,
tb2,overfull-hbox,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,0,0,Process closed stdout (rc=None)
tb2,overfull-hbox,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,3,0,Process closed stdout (rc=None)
tb2,password-recovery,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,139,75,ACP error 400: The input token count exceeds the maximum number of tokens allowed 1048576.
tb2,password-recovery,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,528,145,Process closed stdout (rc=None)
tb2,password-recovery,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,1,0,Process closed stdout (rc=None)
tb2,path-tracing,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,141,31,
tb2,path-tracing,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,173,9,Process closed stdout (rc=None)
tb2,path-tracing,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,662,131,
tb2,path-tracing-reverse,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,80,19,
tb2,path-tracing-reverse,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,117,62,
tb2,path-tracing-reverse,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,178,66,
tb2,polyglot-c-py,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,159,37,
tb2,polyglot-c-py,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,0,0,Process closed stdout (rc=None)
tb2,polyglot-c-py,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,381,152,
tb2,polyglot-rust-c,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,110,30,
tb2,polyglot-rust-c,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,276,127,
tb2,polyglot-rust-c,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,265,36,
tb2,portfolio-optimization,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,148,12,
tb2,portfolio-optimization,reviewer,gemini-3.1-flash-lite-preview,daytona,1,1.0,233,25,
tb2,portfolio-optimization,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,1.0,304,27,
tb2,protein-assembly,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,371,19,
tb2,protein-assembly,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,266,51,
tb2,protein-assembly,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,700,81,
tb2,prove-plus-comm,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,72,7,
tb2,prove-plus-comm,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,135,19,ACP error 400: The input token count exceeds the maximum number of tokens allowed 1048576.
tb2,prove-plus-comm,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,109,35,
tb2,pypi-server,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,91,12,
tb2,pypi-server,reviewer,gemini-3.1-flash-lite-preview,daytona,1,1.0,105,35,
tb2,pypi-server,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,1.0,121,30,
tb2,pytorch-model-cli,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,197,16,
tb2,pytorch-model-cli,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,110,31,
tb2,pytorch-model-cli,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,144,42,
tb2,pytorch-model-recovery,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,936,12,Agent timed out after 900s
tb2,pytorch-model-recovery,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,2,0,Process closed stdout (rc=None)
tb2,pytorch-model-recovery,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,795,49,
tb2,qemu-alpine-ssh,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,83,11,
tb2,qemu-alpine-ssh,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,93,18,
tb2,qemu-alpine-ssh,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,70,11,
tb2,qemu-startup,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,939,6,Agent timed out after 900s
tb2,qemu-startup,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,192,23,
tb2,qemu-startup,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,1.0,83,20,
tb2,query-optimize,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,661,13,
tb2,query-optimize,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,208,24,
tb2,query-optimize,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,643,6,
tb2,raman-fitting,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,48,6,
tb2,raman-fitting,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,127,37,
tb2,raman-fitting,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,172,53,
tb2,regex-chess,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,65,9,
tb2,regex-chess,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,3,0,Process closed stdout (rc=None)
tb2,regex-chess,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,91,34,
tb2,regex-log,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,77,3,
tb2,regex-log,reviewer,gemini-3.1-flash-lite-preview,daytona,1,1.0,90,17,
tb2,regex-log,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,1.0,92,16,
tb2,reshard-c4-data,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,118,10,
tb2,reshard-c4-data,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,1,0,Process closed stdout (rc=None)
tb2,reshard-c4-data,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,2,0,Process closed stdout (rc=None)
tb2,rstan-to-pystan,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,1025,24,
tb2,rstan-to-pystan,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,444,51,
tb2,rstan-to-pystan,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,719,42,
tb2,sam-cell-seg,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,257,3,
tb2,sam-cell-seg,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,2,0,Process closed stdout (rc=None)
tb2,sam-cell-seg,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,206,13,
tb2,sanitize-git-repo,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,83,23,
tb2,sanitize-git-repo,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,135,42,
tb2,sanitize-git-repo,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,4,0,Process closed stdout (rc=None)
tb2,schemelike-metacircular-eval,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,265,58,
tb2,schemelike-metacircular-eval,reviewer,gemini-3.1-flash-lite-preview,daytona,1,1.0,182,120,
tb2,schemelike-metacircular-eval,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,263,70,
tb2,sparql-university,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,113,4,
tb2,sparql-university,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,74,14,
tb2,sparql-university,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,1.0,107,17,
tb2,sqlite-db-truncate,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,68,11,
tb2,sqlite-db-truncate,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,131,46,
tb2,sqlite-db-truncate,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,74,29,
tb2,sqlite-with-gcov,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,163,76,
tb2,sqlite-with-gcov,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,166,52,
tb2,sqlite-with-gcov,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,112,43,
tb2,torch-pipeline-parallelism,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,238,3,
tb2,torch-pipeline-parallelism,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,1,0,Process closed stdout (rc=None)
tb2,torch-pipeline-parallelism,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,186,13,
tb2,torch-tensor-parallelism,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,220,3,
tb2,torch-tensor-parallelism,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,1,0,Process closed stdout (rc=None)
tb2,torch-tensor-parallelism,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,147,15,
tb2,train-fasttext,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,1328,15,
tb2,train-fasttext,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,2,0,Process closed stdout (rc=None)
tb2,train-fasttext,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,628,0,
tb2,tune-mjcf,baseline,gemini-3.1-flash-lite-preview,daytona,0,1.0,625,56,
tb2,tune-mjcf,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,1,0,Process closed stdout (rc=None)
tb2,tune-mjcf,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,1.0,529,59,
tb2,video-processing,baseline,gemini-3.1-flash-lite-preview,daytona,0,0.0,66,6,
tb2,video-processing,reviewer,gemini-3.1-flash-lite-preview,daytona,1,0.0,87,25,
tb2,video-processing,reviewer+spec,gemini-3.1-flash-lite-preview,daytona,1,0.0,88,22,
